id,audio_path,image_folder,caption,hashtags,posted,last_image_index
1,reel_voice/voice (1).mp3,gym_images,"Master your mind, master your life.",#stoic #motivation #mindset,True,3
2,reel_voice/voice (2).mp3,gym_images,Testing Discipline is doing what needs to be done.,#discipline #grind #success,False,0
