id,audio_path,image_folder,posted,last_image_index
1,audio/warrior/M (54).mp3,images/warrior/M,true,7.0
2,audio/warrior/W (37).mp3,images/warrior/W,true,14.0
3,audio/warrior/M (61).mp3,images/warrior/M,true,25.0
4,audio/warrior/M (31).mp3,images/warrior/M,true,34.0
5,audio/warrior/M (50).mp3,images/warrior/M,true,40.0
6,audio/warrior/M (65).mp3,images/warrior/M,true,44.0
7,audio/warrior/W (36).mp3,images/warrior/W,true,53.0
8,audio/warrior/W (6).mp3,images/warrior/W,true,55.0
9,audio/warrior/W (20).mp3,images/warrior/W,true,71.0
10,audio/warrior/W (23).mp3,images/warrior/W,true,77.0
11,audio/warrior/M (20).mp3,images/warrior/M,true,85.0
12,audio/warrior/W (34).mp3,images/warrior/W,true,108.0
13,audio/warrior/M (32).mp3,images/warrior/M,true,117.0
14,audio/warrior/M (22).mp3,images/warrior/M,true,123.0
15,audio/warrior/W (22).mp3,images/warrior/W,true,129.0
16,audio/warrior/M (46).mp3,images/warrior/M,true,136.0
17,audio/warrior/M (25).mp3,images/warrior/M,true,147.0
18,audio/warrior/W (2).mp3,images/warrior/W,true,155.0
19,audio/warrior/W (14).mp3,images/warrior/W,true,161.0
20,audio/warrior/M (37).mp3,images/warrior/M,true,166.0
21,audio/warrior/W (35).mp3,images/warrior/W,true,170.0
22,audio/warrior/W (11).mp3,images/warrior/W,true,178.0
23,audio/warrior/W (15).mp3,images/warrior/W,true,198.0
24,audio/warrior/M (34).mp3,images/warrior/M,true,205.0
25,audio/warrior/M (66).mp3,images/warrior/M,true,216.0
26,audio/warrior/M (57).mp3,images/warrior/M,true,225.0
27,audio/warrior/M (38).mp3,images/warrior/M,true,238.0
28,audio/warrior/M (6).mp3,images/warrior/M,true,243.0
29,audio/warrior/M (51).mp3,images/warrior/M,true,293.0
30,audio/warrior/M (12).mp3,images/warrior/M,true,297.0
31,audio/warrior/M (53).mp3,images/warrior/M,true,308.0
32,audio/warrior/M (59).mp3,images/warrior/M,true,319.0
33,audio/warrior/W (10).mp3,images/warrior/W,true,322.0
34,audio/warrior/W (12).mp3,images/warrior/W,true,333.0
35,audio/warrior/M (63).mp3,images/warrior/M,true,340.0
36,audio/warrior/M (45).mp3,images/warrior/M,true,360.0
37,audio/warrior/M (36).mp3,images/warrior/M,true,367.0
38,audio/warrior/M (24).mp3,images/warrior/M,true,373.0
39,audio/warrior/M (52).mp3,images/warrior/M,true,383.0
40,audio/warrior/M (18).mp3,images/warrior/M,true,388.0
41,audio/warrior/W (32).mp3,images/warrior/W,true,398.0
42,audio/warrior/M (15).mp3,images/warrior/M,true,403.0
43,audio/warrior/M (60).mp3,images/warrior/M,true,412.0
44,audio/warrior/W (3).mp3,images/warrior/W,true,416.0
45,audio/warrior/W (19).mp3,images/warrior/W,true,428.0
46,audio/warrior/M (17).mp3,images/warrior/M,true,432.0
47,audio/warrior/M (48).mp3,images/warrior/M,true,440.0
48,audio/warrior/M (1).mp3,images/warrior/M,true,449.0
49,audio/warrior/W (30).mp3,images/warrior/W,true,451.0
50,audio/warrior/M (29).mp3,images/warrior/M,true,457.0
51,audio/warrior/M (43).mp3,images/warrior/M,true,461.0
52,audio/warrior/W (4).mp3,images/warrior/W,true,466.0
53,audio/warrior/M (41).mp3,images/warrior/M,true,472.0
54,audio/warrior/W (31).mp3,images/warrior/W,true,477.0
55,audio/warrior/M (21).mp3,images/warrior/M,true,481.0
56,audio/warrior/M (16).mp3,images/warrior/M,true,491.0
57,audio/warrior/W (5).mp3,images/warrior/W,true,501.0
58,audio/warrior/W (16).mp3,images/warrior/W,true,509.0
59,audio/warrior/M (3).mp3,images/warrior/M,true,516.0
60,audio/warrior/M (7).mp3,images/warrior/M,true,526.0
61,audio/warrior/M (56).mp3,images/warrior/M,true,542.0
62,audio/warrior/W (13).mp3,images/warrior/W,true,547.0
63,audio/warrior/W (17).mp3,images/warrior/W,true,552.0
64,audio/warrior/W (9).mp3,images/warrior/W,true,558.0
65,audio/warrior/W (29).mp3,images/warrior/W,true,566.0
66,audio/warrior/M (11).mp3,images/warrior/M,true,576.0
67,audio/warrior/M (44).mp3,images/warrior/M,true,580.0
68,audio/warrior/M (23).mp3,images/warrior/M,true,584.0
69,audio/warrior/M (5).mp3,images/warrior/M,true,596.0
70,audio/warrior/M (10).mp3,images/warrior/M,true,603.0
71,audio/warrior/M (13).mp3,images/warrior/M,true,610.0
72,audio/warrior/M (30).mp3,images/warrior/M,true,612.0
73,audio/warrior/W (25).mp3,images/warrior/W,true,620.0
74,audio/warrior/M (42).mp3,images/warrior/M,true,629.0
75,audio/warrior/W (1).mp3,images/warrior/W,true,635.0
76,audio/warrior/M (55).mp3,images/warrior/M,true,647.0
77,audio/warrior/W (38).mp3,images/warrior/W,true,657.0
78,audio/warrior/M (39).mp3,images/warrior/M,true,659.0
79,audio/warrior/M (35).mp3,images/warrior/M,true,667.0
80,audio/warrior/W (18).mp3,images/warrior/W,true,671.0
81,audio/warrior/W (26).mp3,images/warrior/W,true,676.0
82,audio/warrior/M (14).mp3,images/warrior/M,true,679.0
83,audio/warrior/M (26).mp3,images/warrior/M,true,683.0
84,audio/warrior/M (40).mp3,images/warrior/M,true,689.0
85,audio/warrior/M (33).mp3,images/warrior/M,true,701.0
86,audio/warrior/M (58).mp3,images/warrior/M,true,707.0
87,audio/warrior/M (28).mp3,images/warrior/M,true,712.0
88,audio/warrior/M (62).mp3,images/warrior/M,true,725.0
89,audio/warrior/W (24).mp3,images/warrior/W,true,731.0
90,audio/warrior/M (47).mp3,images/warrior/M,false,0.0
91,audio/warrior/W (33).mp3,images/warrior/W,false,0.0
92,audio/warrior/W (21).mp3,images/warrior/W,false,0.0
93,audio/warrior/W (7).mp3,images/warrior/W,false,0.0
94,audio/warrior/M (2).mp3,images/warrior/M,false,0.0
95,audio/warrior/M (8).mp3,images/warrior/M,false,0.0
96,audio/warrior/W (8).mp3,images/warrior/W,false,0.0
97,audio/warrior/M (27).mp3,images/warrior/M,false,0.0
98,audio/warrior/M (64).mp3,images/warrior/M,false,0.0
99,audio/warrior/M (9).mp3,images/warrior/M,false,0.0
100,audio/warrior/M (49).mp3,images/warrior/M,false,0.0
101,audio/warrior/W (27).mp3,images/warrior/W,false,0.0
102,audio/warrior/M (4).mp3,images/warrior/M,false,0.0
103,audio/warrior/W (28).mp3,images/warrior/W,false,0.0
104,audio/warrior/M (19).mp3,images/warrior/M,false,0.0
105,audio/warrior/M (67).mp3,images/warrior/M,false,0.0
106,audio/warrior/M (68).mp3,images/warrior/M,false,0.0
107,audio/warrior/M (69).mp3,images/warrior/M,false,0.0
108,audio/warrior/M (70).mp3,images/warrior/M,false,0.0
109,audio/warrior/M (71).mp3,images/warrior/M,false,0.0
110,audio/warrior/M (72).mp3,images/warrior/M,false,0.0
111,audio/warrior/M (73).mp3,images/warrior/M,false,0.0
112,audio/warrior/M (74).mp3,images/warrior/M,false,0.0
113,audio/warrior/M (75).mp3,images/warrior/M,false,0.0
114,audio/warrior/M (76).mp3,images/warrior/M,false,0.0
115,audio/warrior/M (77).mp3,images/warrior/M,false,0.0
116,audio/warrior/M (78).mp3,images/warrior/M,false,0.0
117,audio/warrior/M (79).mp3,images/warrior/M,false,0.0
118,audio/warrior/M (80).mp3,images/warrior/M,false,0.0
119,audio/warrior/M (81).mp3,images/warrior/M,false,0.0
120,audio/warrior/M (82).mp3,images/warrior/M,false,0.0
121,audio/warrior/M (83).mp3,images/warrior/M,false,0.0
122,audio/warrior/W (39).mp3,images/warrior/W,false,0.0
123,audio/warrior/W (40).mp3,images/warrior/W,false,0.0
